cue,feature_response
lion,"lives in africa attraction at the zoo the ""king"" of the prideland the lion king the top of the food chain "
lion,lion king big scary furry africa they will eat you. 
lion,lindenwood tifers bears oh my 
lion,large mammal with mane king of jungle yellow brown fur big cat hunts prey live in prides 
lion,large daniel and the lions' den cat zoo found in africa hair golden fur dangerous alpha 
lion,large cat; preditory; carnivorous; native of africa. 
lion,large cat males with a mane tackles zebras and eats them lives in africa roars feline 
lion,large animal meat eater lives in africa has brown or golden brown hair king of the jungle 
lion,large and dangerous mammal very fast often referred to as king of the jungle have a mane. 
lion,king of the jungle has a mane females are lionesses live in savannas ferocious and strong 
lion,king of the jungle fluffy carnivore. 
lion,"king of the jungle carnivorous live in savannahs live in africa live in zoos males have manes females are the hunters young ones are called cubs simba is a lion have long tails yellowish in color in the ""cat"" family dont bring them home "
lion,king of the jungle a large cat 
lion,king male lion majestic carnivorous ruler of the safari big cat 
lion,jungle king of the jungle lion king mane beast fast hungry sharp teeth scary deadly 
lion,jungle cat; king of the forrest; is powerful; is a mammal; has fur; 
lion,is strong is furry is dangerous is a carnivore lives on the savannah eats zebras you cant ride one 
lion,is in the jungle the mighty jungle where he sleeps tonight wimoweh wimoweh. 
lion,is ferocious a big cat lives in africa has a mane paws whiskers live in prides hunters carnivores beautiful tan graceful and deadly. 
lion,is an animal usually lives in africa can be found in zoo's all across the country 
lion,is an animal that have a long main 
lion,is an animal lives in the jungle 
lion,is an animal lives in africa lives in a pride has cubs roars loudly is soft is tan-colored has sharp teeth has a mane is courageous 
lion,is an animal king of the jungle 
lion,is an animal is vicious eats other animals chases animals has beautiful coat lives in wood areas has sharp teeth and claws 
lion,is an animal is furry is dominant has a tail is brown has paws is a predator has whiskers lives on land 
lion,is an animal is a mammal lives in the savanna is scary is a predator 
lion,is an animal is a cat runs walks is a carnivore lives in the wild lives in the zoo is orange growls has sharp teeth can be male or female is a mammal 
lion,is an animal is a cat is the king of the jungle is wild  
lion,"is an animal is a carnivore big cat feline lives in africa ""king of the jungle"" has fur males have manes and females don't has huge claws has huge teeth lionesses hunt stalks prey have about 2-4 cubs "
lion,is an animal eats other animals has big furry hair walks on all four legs. 
lion,is a strong beast 
lion,is a phelion walks on four legs growls hunts for meat runs fast detroit lives in africa has huge teeth has a large mane around its head is intimidating is the king of all animals. 
lion,is a large and wild kitty cat. lions have manes and sleep twenty-three hours a day. they are the animal symbols of bravery and courage. 
lion,have manes live in africa 
lion,has a hairy mane a predator lives in this jungle 
lion,fierce ferocious man-hunter king of the jungle simba mufasa quick agile great leaper eats meat found in zoos 
lion,ferosious hunters felines wild 
lion,deadly big cat 
lion,constellation animal big strong predator cat family 
lion,big teeth sharp teeth yellow/baige maine hunters zoo lion king  
lion,big cat eats meat lives in africa big roar scary 
lion,beautiful furry mane lion king 
lion,are wild animals who live in a jungle 
lion,animal king scary 
lion,animal the king of the jungle great predator of africa a large cat with a mane. 
lion,animal mane mean fierce zoo 
lion,animal mammal loud ferocious dangerous sharp teeth sharp claws tail males have manes 
lion,animal king of forest large mane of hair around face yellow fur poofy tail feirce large sharp teeth eat other animals loud lives in caves 
lion,animal kills big lives outdoors found in a zoo female hunts attacks other animals furry poops 
lion,animal cat/feline fierce deadly carniore predator beautiful 
lion,animal big fast furry yellow fur 
lion,animal africa king 
lion,an animal lives on land a male has fur has four legs has a mane wild 
lion,an animal king of the jungle has a mane has a tail has fur has paws a big cat 
lion,an animal found in either the zoo or jungle normally a yellowish gold color 
lion,an animal can be found in africa jungles carnivores king simba courage cowardly predator hunter big maine roar four legs 
lion,an animal a feline a predator in the savannah has a mane and a furry coat icon that has come to mean royal 
lion,an animal a felid has fur has a tail social predators the females do the hunting. 
lion,an african cat a very large cat powerful. 
lion,alpha delta pi alphie a predator eats gazelle king of the jungle/savannah 
lion,a mammal a cat a feline a yellowish tan cat native to africa and southern asia males have large manes strength found at most zoos second largest cat a wild animal a carnivore. 
lion,a large mammal in the cat family found in the zoo famous for the movie lion king 
lion,a ferocious animal live in groups of lions called prides a male lion has a furry mane have long tails the female lions hunt for food for the pride and take care of the baby lions. 
lion,a feline a carnivore lives in the savannah prides excellent hunters males have manes 
lion,a cat males have manes have large teeth live in africa predators groups called prides they roar. 
listen,watch 
listen,using your ears comprehending noise talking 
listen,using ears hearing people music sounds voices 
listen,uses ears to hear music audience during a speech much do this good eye contact to fully understand to comprehend things being said a part of communication 
listen,use ears take in information polite learn sense 
listen,understanding hearing music ears directions recieving information 
listen,understanding empathizing ears closed mouth focus comfort 
listen,understand time advice hearing observe 
listen,understand patience quiet thoughtful engaged ears 
listen,to pay attention closely is done with ears is not possible for a deaf person is something people should do more is something students should do in class 
listen,to listen is a verb pay attention hear consider 
listen,to lean to hear different sounds concentrated obey take advice show interest is hard to perfect part of everyday life part of learning 
listen,to hear; being attentive 
listen,to hear use your ears to be quiet 
listen,to hear to understand to pay attention deaf music loud quiet 
listen,to hear to respond to listen to music use of ears 
listen,to hear to comprehend 
listen,to hear something to pay attention to sound like television and music to pay close attention to people talking teaching or speaking 
listen,to hear something & generally expected to understand it. to focus attention on what is being said or done. 
listen,to hear ear heard 
listen,to actively hear respond and remember an auditory stimulus. 
listen,the act of using the auditory sense. 
listen,teachers and lectures ears paying attention concentrating learning contemplating what someone says 
listen,stop talking music voices tv food cooking 
listen,something that people do when they are being spoken to 
listen,process information hear 
listen,pay attention to something or someone 
listen,listening is paying attention to someone with your eyes and listening to them with your ears 
listen,listen is to actively try to hear something used as a command stay quiet and pay attention to what another is saying 
listen,listen can me to hear. listening is a action that people do so they know whats going on around them. then can also be a demand from other people so they will listen to them 
listen,is what someone does when someone else is talking whether it is a teacher lecturing or a friend talking or a family member telling a story. 
listen,is usually considered an action means you payed attention is appreciated doesn't always happen is sometimes difficult shows respect 
listen,is to heard something 
listen,is to hear other people's advice 
listen,is to hear or pay attention by ears 
listen,is to hear and process is to give attention to incoming information 
listen,hearing something and actually processing it hearing sounds whatever they may be 
listen,hearing polite not talking essential shows that someone cares silence 
listen,hear voice information time 
listen,hear sound or words  to pay attention to what someone is saying 
listen,hear pay attention to acknowledge hearing sounds such as music or a voice 
listen,hear pay attention listen to music 
listen,hear pay attention ears comprehend brain register 
listen,hear pay attention a reaction to noise 
listen,hear ear selective 
listen,hear audiotry perception absorbing information music lecture information. 
listen,having both ears towards someones conversation music poetry. 
listen,ears hearing music learning sounds 
listen,ears hearing 
listen,done by the ears hearing something one of the five senses some people have handicaps that disable them from hearing 
listen,clearly good friend helping hand good advice good notes good grades translating words positive and negative feed back in public speaking 
listen,calm prepared comforting empathetic 
listen,bad students ears music 
listen,attentive use your ears can hear everything (music conversations) volume and pitch 
listen,attentive learn class notes hear ears drums talking information 
listen,alert 
listen,against a certain subject one sided  opinionated 
listen,actions hearing ears therapist helps in the decision making process sounds. 
listen,action using ears hearing absorbing sounds 
listen,acknowledge and comprehend what someone is saying when they are talking to you 
look,window 
look,watch  see  stare  
look,vision  seeing 
look,viewing  seeing  witnessing 
look,uses eyes 
look,to use your eyes 
look,to see with one's eyes  to admire something 
look,to see and respond  to observe 
look,to see  done with your eyes  
look,to gaze at 
look,to gaze  to see  do so with your eyes 
look,the way someone dresses 
look,sight  
look,sight 
look,sense  eyes are used  
look,seeing  seeking 
look,seeing 
look,see something  sight  take notice  characteristics 
look,see judge 
look,see  watch  hear  observe  spectulate 
look,see  see surroundings  taking a closer inspection 
look,see  peer  visual  glasses  eyes  brain  healthy  advantageous 
look,see  observe  obtain 
look,see  glance 
look,see  eyes  distinguish 
look,see  both ways  stare  glance  appearance  pretty  ugly 
look,see 
look,requires sight 
look,one of five senses. how we visually interpret. 
look,occurs with your eyes 
look,like 
look,landscape  the look  appearance 
look,is what eyes do  is to perceive 
look,is a verb 
look,is a current style  is fasion 
look,indicates how someone feels  made from facial expressions  is universally understood around the world  is projected towards other people as communication. 
look,house doors  car doors  dorm room 
look,good looks  action 
look,glare 
look,glance  sometimes has a facial expression  somtimes can be rather quick 
look,glance  eye  glare 
look,glance 
look,facial expression  turn of a head 
look,eyes face 
look,eyes  to see 
look,eyes  stare  sneak 
look,eyes  sight  glasses 
look,eyes  gaze  vision 
look,eyes  eyesight 
look,eyes  eye movement  color  light  dark  shades  expression  emotion 
look,eyes  direction 
look,eyes 
look,emotional  variable 
look,down 
look,directing visual attention  an expression on someones face 
look,clothes  makeup  accessories 
look,book  glasses  up  out 
look,at sights  people  things 
look,around  eyes  sight 
look,appereance  conceit  superfisial  
look,appearance  observe  study  eyes  sense  watch 
look,appearance 
look,ability to see  
lose,women leak lost break 
lose,win angry 
lose,when you do not win you do not finish first or when you cannot find something or have misplaced an item 
lose,when something is lost gone can't be found to misplace 
lose,weight something personal family greif depression 
lose,upset not a winner sad disappointed regretful loser fail effort 
lose,to not win; can be associated with games and races or with weight 
lose,to not win to not have to be defeated to feel bad race a bet 
lose,to not win or to misplace something 
lose,to not win not being able to find something 
lose,to not win be defeated happens in competition there is usually always a winner and a loser not a joyous occasion 
lose,to misplace. also the opposite of win. 
lose,to misplace to not be able to find something people do with their keys something that happens when a person is careless something women want to do with their weight 
lose,to misplace something  the opposite of win 
lose,to misplace something; to be left without something or someone; also can be referred to the opposite of winning. 
lose,to lose a loved one to no longer have opposite of to be a winner is to be the loser 
lose,to loose posession of to not own the team that did not win to fail. 
lose,to give up not first misplace something come in last defeated 
lose,to fail to give up not be good enough surrender 
lose,to be parted with something weight valuables spirit mind dog etc. 
lose,to be deprived of careless consume surrender waste to fail use up expend 
lose,the opposite of win. 
lose,the opposite of win when you cant find something. 
lose,stealing from others taking valubles going to jail wearing a mask wearing all black 
lose,opposite of winning losing weight missing losing a game sore loser 
lose,opposite of win be beaten out scored 
lose,opposite of losing upsetting a let down crying mad 
lose,not winning gone failure sadness depression emptyness losing a loved one losing a game inadequacy 
lose,not winning failure unsuccessful the royals 
lose,not to win bummer sour loser not first place 
lose,not to have something anymore cant find miss 
lose,not in first place to misplace something to lose someone 
lose,not first last unsatisfying upsetting disappointing 
lose,not an object outcome of a game means you do not have something you once did said if you can't find an object you once had can produce a saddening emotion. 
lose,not a noun. to not win to not be able to find something. 
lose,no longer in possession defeated competitor lost needs more practice 
lose,misplacing something to sucome to a competitor to not be first in a contest unable to identify self 
lose,misplacing something opposite of winning 
lose,mad cruse black 
lose,lost to have lost 
lose,loser motivation to win depressing not good enough loss of money/friends and family family member dieing 
lose,lose: to not win not coming in first disappointing usually refers to competition or game individual or team 
lose,lose is when you are in a competition and you don't win. 
lose,last worst fail lost cant find 
lose,last sad 
lose,keys car children 
lose,is to be deprived of is to be defeated 
lose,is something unliked is to fail in something is something people face in their life is something lost 
lose,is not victory is a state of being means someone didn't win something not in first didn't place regret remorse not the best was incorrect 
lose,is not having something anymore or not winning 
lose,is fail or not winning. 
lose,is a loser comes in last not a winner person who is not number one person who doesnt achieve their goal bad feeling inside and sense of failure. 
lose,failing to win last incomplete unfinished 
lose,failer win bad last 
lose,do not win something is missing do not have something you used to. 
lose,defeated beaten failing to acheive your goals. it happens when you set a goal that is unattainable or do not work towards your goal. brings about very negative feelings 
lose,cry get pissed 
lose,can't find 
lose,can misplace emotional feelings whether can be good or bad can be tied to something 
lose,an outcome in a game 
make,to take things and make something bigger 
make,to create  to work things out (make up  make a mends)  
make,to create  to build  to put together 
make,to create 
make,to build something 
make,to build  the reproduce  to recreate 
make,to build 
make,the type of thing it is like the make of a car 
make,the act of doing something  foods  
make,shift  to do  build  invent  use hands  create  produce  cookies 
make,shake n bake 
make,putting things together 
make,put things together  project 
make,productive 
make,producer of an automobile  car companies 
make,produce 
make,play do  to do 
make,model 
make,male 
make,love 
make,is to create. 
make,is to create  is done by people  is done by animals and plants 
make,is a typoe of car 
make,has creation 
make,hands  create  clay 
make,fun of  food  drinks  money 
make,forming something new 
make,form  accomplish 
make,food  projects  crafts 
make,food  drinks  projects 
make,food  crafts  clothes  do with hands 
make,food 
make,do something  food 
make,do  action  create 
make,do 
make,dinner 
make,describes the brand of something  a type of car  where the object was created. 
make,creative 
make,creation  materials  crafty 
make,creation  creativity 
make,creating something 
make,create something 
make,create  to construct 
make,create  learn  bake  cook  share  creative  artistic 
make,create  invision  destroy 
make,create  force  invent 
make,create  construct  accomplish 
make,create  build  new  put together 
make,create  bake  construct  skills  change 
make,create  accomplish  achieve  goals 
make,create 
make,crafts  hands  work 
make,crafts 
make,craft  art  creative  imagination 
make,cookies 
make,construct  building 
make,complete something  dinner 
make,build  constuct  to do something 
make,build  appearance  design  type  model 
make,build 
make,belive  create  sculpt  imagine 
make,believe  make stories  make crafts  make things 
make,believe 
make,bake  create  form  concentrate 
make,bake 
make,accomplish 
mouse,tiny mammal grey or brown bad reputation has 4 paws is edible but not desirable to eat bony rapid heart beat squeaks lives in places where it can scavenge for food 
mouse,small white or gray fur coat fragile eats cheese related to rats but more fit to be a pet tom and jerry. 
mouse,small squeaky quick long tails big ears like cheese 
mouse,small rodent usually grey in color likes cheese squeaks runs really fast afraid of humans likes peanut butter cats favorite food 
mouse,small lives in a hole in a wall likes cheese scared of cats noisy 
mouse,small likes cheese is a pest sneaky likes scaring elephants food for cats tom and jerry lives under the floorboards has a tail 
mouse,small fast rodent pest lives in secret furry 
mouse,small animal rodent can be pests or pets white brown or black usually nocturnal eats crumbs found outside or in walls or attic of house furry 
mouse,small animal gross lives in attics 
mouse,shot off on the 4th of july launched into space red astronots  very hot shoots straight up into the air 
mouse,rodent nibble on cheese sewer computer 
mouse,rodent mouse trap cheese 
mouse,rodent has little ears has a tail eats cheese has fur famous mouse is mickey mouse could also be a computer mouse. 
mouse,rodent animal gray scurries eats cheese  computer appliance left and right buttons 
mouse,rodent a pest small white fast sneaky 
mouse,nasty cute furry curious afraid 
mouse,mouse is an animal small white red eyes different colors small insides heart beats really fast because its smaller or a mouse can be part of a computer that is the clicker it can be any color and you physically click the pointer 
mouse,little long tale short hair snake food 
mouse,it is an animal small creature has fur big ears whiskers could also be a computer mouse again it is small makes a clicking noise 
mouse,is small is grey is frightening is quick is hairy is disease-ridden 
mouse,is an animal small has tail likes cheese hates cats 
mouse,is an animal is an electronic device is used in computers is a rodent is something hunted by bigger animals like cats. 
mouse,is an animal is a mammal is a rodent considered a pest usually unwanted small innocent furry has a long tail small beady eyes has anatomical properties associated to animals of its type is related to rats is primitive eats whatever it can find can survive many different conditions 
mouse,is a rodent. 
mouse,is a rodent lives in crevices likes cheese run from predators scavange cute small powerless 
mouse,is a mammal is furry is small can be destructive when chewing on things like walls or electrical wires has a tail squeaks. also a piece of technology that provides input for a computer size of a human hand with buttons that click 
mouse,fast small 
mouse,fast sly quick 
mouse,eaten by cat is annoying is ugly spreads diseases is a rodent eats cheese is used in research is fast has a long nose and whiskers lives everywhere disliked by people 
mouse,eat cheese is furry guinea pigs rat 
mouse,disgusting small ugly fast traps micky  
mouse,computer small animal four legs likes cheese tiny face big eyes controls a computer allows buttons to be pressed 
mouse,computer mouse gray tiny skweetky rat animal lives in holes can bite 
mouse,computer little gray. decon fast rodent trap click 
mouse,computer clicks animal cheese mouse trap soft droppings 
mouse,cheese traps pests pets whiskers tails fur runs walks scurries sleeps 
mouse,cheese dirty tail mousetrap mousehole mousy hair mousy face food theif church mice 
mouse,cat loves to eat computer mouse 
mouse,can be caught in a trap is an animal can be killed with poison can carry diseases a household pest can be indoors or outdoors a field mouse can be brown or gray makes squeaking noises has fur is singular is fast has a long skinny tail has four legs can scare people is prey for cats and large birds 
mouse,animal small yucky sometimes found in house white pink tails snakes eat them 
mouse,animal small rodent cheese trap mammal fuzzy pet long tail hated by people cat sticky pads big ears 
mouse,animal rodent small gray quiet fast ugly annoying makes messes sometimes a pet scampers. 
mouse,animal fast likes cheese computer mouse long tail gray white little can be pets 
mouse,an animal; rodent; has a tail; has little ears; used to feed snakes 
mouse,an animal small gray little tail rodents a computer device 
mouse,an animal a mamal has hair is a rodent scavanger a device used with computers made of plastic 
mouse,a small rodent that is attracted into buildings by food a part of a computer that allows the user to click on different things on the screen and do different actions 
mouse,a small mammal they eat cheese 
mouse,a small mammal of the of the rodent family recognized by their short fur respectively large ears pointed snout and slender virtually hairless tail. often brown or gray in coloring. 
mouse,a small animal or a part of a computer can be a pest if it gets inside the house live in sewers because of the environment usually dirty animals carry diseases can be kept as a pet 
mouse,a small animal it eats cheese it is fed to bigger predators used to move the arrow on computers 
mouse,a similar rat it squeaks a computer mouse sneaky creature it eats cheese mouse traps. 
mouse,a rodent soft fur hairless tail used to navigate on the computer small what snakes eat white 
mouse,a rodent small has ears has a long and thin tail has wiskers had two big front teeth has four small legs 
mouse,a rodent small can be in houses or computer mouse used to move around and click on different things for the computer controls actions 
mouse,a roadant an animal scurries around has babies has four legs a tail squeaks a lot pink little nose tiny ears has fur lives on land where they can find a home like cheese 
mouse,a mouse is something that a cat or snake will eat. they could be sold in a pet store or found in an old runned down building or someone's old house. 
mouse,a living animal that is relatively small in size & grey-ish or white in color. thought of as to have 'beady' eyes & usually a long tail short hair or fur & whiskers. quick in movement. can live in the woods barns or houses. known to live in between walls inside of houses. supposed to like cheese and peanut butter..as well as other 'human' foods. can be wild or owned as pets.  also the hand-held device for computers used as 'pointers' to click on different icons & etc..   
mouse,a computer device you hold in your hand and navigate the monitor with a small animal cats like to eat an animal that likes to eat cheese normally grey hair a long pink tail the animal in tom&jerry cartoon show on cartoon network 
mouse,1) a rodent an animal has a long tail has fur a pest trapped or caught by people eaten by birds cats and snakes lives outside or in homes hides in small holes could be a pet could be harmful 2) an electronic device for a computer helps you to navigate 
necklace,worn around the neck  usually is jewelry  is valuable  has a string or links  two connecters. worn by people. 
necklace,worn around someone's neck  can be diamond  gold  or metal  jewelry  beneficial for appearance  often used as a christmas or birthday gift from a husband to wife 
necklace,worn around neck  jewlery  meaningful  style  short  long 
necklace,wear around the neck  present  jewelry  girls 
necklace,wear around neck  different styles 
necklace,tiffany's 
necklace,string or chain worn around the neck 
necklace,somthing you wear 
necklace,something to wear 
necklace,something that goes around someone's neck for eye pleasure 
necklace,pretty  sparkles  women and men wear them  
necklace,pretty  flattering  complimenting 
necklace,pretty  diamonds  gold  silver  platinum 
necklace,pretty  accessory  shiny  elegant  expensive 
necklace,present  mother 
necklace,pearls 
necklace,pearl  diamond 
necklace,ornament  quality  gems 
necklace,neck person 
necklace,name  around neck  occasion  long 
necklace,luxurious  gift 
necklace,jewlry  diamond  pearl 
necklace,jewlry  
necklace,jewlery  worn around the neck  pendant  diamonds  silver  gold 
necklace,jewlery  expensive  greed  diamond 
necklace,jewlery  diamond  pearls  chain  
necklace,jewerly worn around the neck 
necklace,jewerly  diamonds  expensive  elegany 
necklace,jewerly 
necklace,jewelry  worn around neck  silver or gold  thin  light 
necklace,jewelry  wedding 
necklace,jewelry  wear it around your neck 
necklace,jewelry  beautiful  diamonds  gems  gold  silver  platinum 
necklace,jewelry  accessory  women 
necklace,jewelry 
necklace,jewelery 
necklace,is shiny. is expensive. is a gift. 
necklace,is jewlery  is around the neck  is fancy 
necklace,is jewelry  is worn on the neck  
necklace,is a thing is a noun 
necklace,has connection 
necklace,gold  silver  present 
necklace,gold  silver  platinum  sterling silver  diamonds  jewelry 
necklace,gold 
necklace,goes around the neck  jewelry  can be a gift  can be gold or silver 
necklace,goes around neck  most commonly metal chain  has jewels or charms 
necklace,gift  love  women  cold  rough to touch  metals 
necklace,friendship 
necklace,fashion 
necklace,expensive  jeweled  symbolic 
necklace,expensive  hangs around ones neck  pretty 
necklace,expensive  cheap  cute  a present  beautiful 
necklace,encircles the neck  jewelry  ornamental 
necklace,diamonds  silver  to wear around your kneck 
necklace,diamonds  goes around neck 
necklace,diamond  expensive 
necklace,circular  feminine  dressy 
necklace,chain 
necklace,bracelet 
necklace,body wear  circular  oblong  design 
necklace,beautiful  woman  gaudy  silver  gold  present  gift  affection 
necklace,beads  pearls  expensive 
necklace,beads 
necklace,around neck  expensive  gold  silver 
necklace,a piece of jewelry worn on ones neck 
octopus,water 
octopus,tenticles  water  salt  ink  food 
octopus,tenticles  ocean 
octopus,tenticals 
octopus,tentacles salt water ocean 
octopus,tentacles  water  edible 
octopus,tentacles 
octopus,sucking  dwelling  scary  frightening 
octopus,squid 
octopus,soup  eight 
octopus,slimy  ocean 
octopus,slimy  from the ocean  many tentacles 
octopus,sea creature  has 8 limbs 
octopus,sea  vicious  fatal  big  taste good  purple 
octopus,sea  creature  squid 
octopus,sea 
octopus,octupus is an animal 
octopus,ocean legs food 
octopus,ocean  legs  tenticles  books  movies  food  killer purple  deep underwater 
octopus,ocean 
octopus,many legged  sea creature 
octopus,lives in the sea  has 8 tenicals  eats fish and such  sea creature 
octopus,live in the sea  8 tentacles  
octopus,legs 
octopus,large  dangeours  inky 
octopus,is in the ocean  has eight legs  
octopus,is an animal is in ocean 
octopus,is a sea creature  has 8 limbs  is able to eject oil  is edible  is served at restraunts 
octopus,has tentacles 
octopus,has multiple limbs 
octopus,has eight tentacles with suction cups  lives in the ocean  eats mollusks  squirts ink  varies in color  is eaten in certain parts of the world. 
octopus,has eight legs  is squishy  lives in ocean  inks 
octopus,has 8 legs  lives in the ocean  squirts oil when threatened  has suckers on its legs 
octopus,has 8 arms. is aquatic. shoots ink. 
octopus,eight tenticles  lives in ocean 
octopus,eight tenticals  wiggly  aquatic 
octopus,eight tentacles  lives the in ocean  slimy  has suction cups on the tentacles 
octopus,eight legs  water 
octopus,eight legs  tentacles  sea creatures  sea exploration  marine biology  glass bottomed boat  ink  finding nemo 
octopus,eight legs  sea creature  tentacles  suction 
octopus,eight legs  sea creature  squirts ink 
octopus,eight legs  sea creature 
octopus,eight legs  purple  deep ocean  buried treasure  pirates  sail boats  dolphins 
octopus,eight legs  lives in the ocean  can be eaten by people  
octopus,eight legs  an animal  underwater  ocean  ink 
octopus,eight legs 
octopus,eight  water  big  scary 
octopus,eight  under water  lives in the ocean  cool 
octopus,eight  slimy  ocean 
octopus,eight  big  small  ink  cartoons  sea world 
octopus,eight 
octopus,cephalopod  8 limbs  excretes ink when distressed 
octopus,big  round  eight arms  lives in ocean  dangerous 
octopus,animal with 8 legs 
octopus,animal that lives in the ocean with 8 tentacles 
octopus,animal  ocean  living  eight arms  suction cups  large 
octopus,animal  8 legs 
octopus,animal 
octopus,an animal that lives in the sea  has tentacles  often is mysterious  often scary 
octopus,an animal  eight legs  slimy  lives in the ocean  salt water animal  large 
octopus,a animal 
octopus,8 tenticles  large squid  inks 
octopus,8 legs  large head  lives in ocean 
octopus,8  sea  tenticles 
oven,you cook things in it gets very hot gas ovens bake things in it bread turkey usually white in color 
oven,where food is cooked. is typically hot. moms yell at children to stay away from it. 
oven,used to cook used to provide warmth to a house used to make something sometimes a womans womb is referred to this can burn things in here an appliance 
oven,used to cook meals 
oven,used to cook food kitchen appliance 
oven,used to bake things warm large contains heating elements usually white 
oven,used to bake produces heat made of metal run on electricity found in kitchens used to cook 
oven,used for cooking household appliance inside made of metal outside sometimes plastic baking cakes turkey runs on gas uses electricity can use wood 
oven,used for baking produces heat metal 
oven,used for baking broiling and cooking foods. a slang term used to indicate a pregnant womans belly. 
oven,underneath the stove used to make pizza it gets very hot uses gas uses electricity used to bake used to make food found in the kitchen can smell can get dirty 
oven,to cook. hot. temperature timer racks bake broil pizza 
oven,to cook with dinner heat cooking burning food cookies 
oven,stove cook cookies is an appliance 
oven,stove appliance heat kitchen for baking roasting heating and drying heat enclosed compartment 
oven,something you cook with found in a kitchen gets very hot box shaped use oven pads to get food out of is a necessity 
oven,something to cook with gets hot in the kitchen has different adjustable racks has a light has a door includes options to bake or broil 
oven,something to cook in baking food white has a stove hot produces heat big an appliance 
oven,something to cook food in heats up different types of food hot surface oven mits baking cookies 
oven,rolls hot good smells. 
oven,puts out heat use to cook food is electrical uses elements to heat is hot found in kitchens used for baking is an appliance 
oven,piece of equipment that is used to cook food items. electric or gas. usually has a stove on top of it. 
oven,oven: used to cook food hot can be dangerous produces heat inside usually has three trays. 
oven,oven: makes heat cooks foods heats food ontop contains a stove could be electric or gas its an household appliance 
oven,oven: is an appliance used to cook foods produces a large amout of heat on certin areas of it. 
oven,oven: hot cook food dinner kitchen family 
oven,oven: an appliance gives heat has elements inside usually has plates can get to high temperatues is electrical found in kitchen used for cooking used for baking typically square in shape. 
oven,oven 
oven,often used to bake 
oven,metal used for cooking in a kitchen has racks has nobs temperature hot prepares meals warm 
oven,meal baked food cake 
oven,makes food can burn down homes is something every house has is used for baking is very heavy is made of metal is dangerous can not be used on hot days 
oven,kitchen object to cook food has a door has a rack has temperature control knobs 
oven,kitchen appliance used to cook square produces heat 
oven,kitchen appliance used for cooking food  can be conventional or convection generally has a clock and timer for keeping track of the food cooking that beeps has a light to see the food has racks inside the oven to place the food on  heats up when turned on to a desired temperature  
oven,it cooks things it is warm inside can burn 
oven,is what you cook on can produce heat 
oven,is used to make food metal with burners on top and stove inside looks like a big block of metal with knobs and gadgets smells like cooking foods used by adults in houses in the household appliances category 
oven,is used for baking produces heat 
oven,is used for baking is used for cooking is electrical is hot is found in kitchens is used by humans has racks inside has elements inside produces heat 
oven,is hot used to cook food has four burners on the top has different temperature settings is made of metal smells like whatever is cooking in it usually made of metal usually white or stainless steel silver has dials or buttons to program it has a display screen and a timer. 
oven,is hot is used for cooking and baking burns things provides us with hot meals can cause house fires runs on electricity or gas reaches very high temperatures can be found in the kitchens of most homes 
oven,is hot is conventional is helpful is rectangular is red is metal is an appliance is used for cooking is used for baking 
oven,is an object used to make different foods 
oven,is an object that heats and cooks food. found in kitchens usually are black and have a metal rack inside 
oven,is an appliance used to cook food use electricity 
oven,is an appliance produces heat inside has elements inside has an oven made of metal is hot is electrical runs on wood runs on gas found in kitchens used for baking used for cookng food 
oven,is an appliance produces heat 
oven,is a kitchen appliance is what you use to bake food 
oven,is a kitcen appliance cooks food very hot has a timer 
oven,is a heating unit bakes bread reaches very hot temperatures 
oven,hot used for baking usually desserts in a kitchen is an appliance produces heat makes food 
oven,hot mitt food smell 
oven,hot metal warms up a poorly ventilated house can be used to cook food or children if you're hansel and gretel can be gas or electric an appliance 
oven,hot has trays has buttons comes in bland colors smells good when food in it square shape needs constant cleaning maintenence 
oven,hot good for baking cakes desserts turkey lasagna wires inside color is black baking or broiling large 
oven,hot cooks things one door black gray 
oven,hot cook food square 
oven,hot cook food on 
oven,hot cook below stove 
oven,hot baking appliance kitchen bakers smell of burnt cookies timer 
oven,hot bake yummy 
oven,hot a furnace a cavity to cook in sylvia plath burns 
oven,heating compartment heat roast bake broil 
oven,heat hot to bake to cook is an appliance make food has racks 
oven,heat convection cooks food 
oven,for cooking can be cleaned can be hot 
oven,food heat light 
oven,cooks food found in kitchens produces heat door swings out and down to open has racks inside can start a fire very heavy an appliance has a handle has a timer large cube powered with electricity 
oven,cooks food can be electric or gas powered 
oven,cooking good smells homecooked food mom in the kitchen stainless steal 
oven,cooking essential extremely hot dangerous 
oven,cooking device has racks hot is electrical made of metal located in the kitchen used for baking is an appliance large hard to move heavy 
oven,cook food hot heat bake 
oven,cook 
oven,burn 
oven,baking home heat food cooking time consuming dinner dessert homemade 
oven,bake food hot dark large 
oven,appliance usually accompanied by a stove open space for cooking food made of metal used electricity 
oven,appliance used for cooking produces heat has shelves inside it  
oven,appliance used for cooking food hot either gas or electric 
oven,appliance produces heat used to cook food a wood stove heats a home can run on electricity or propane 
oven,appliance inside a home cooks meals produces heat hot should use mittens has a handle there are racks metal electrical use for baking 
oven,appliance hot burners dials clock metal electric gas or wood burning ovens cooks food bake roast broil usually in kitchens towel rack doors pots pans tea pots 
oven,and appliance that gets very hot after it is turned on 
oven,an applicance used to bake toast or broil food. 
oven,an appliance produces heat you use it to cook things keep children away from it when in use uses electricity used by everyday families some powered by gas made of metal 
oven,an appliance produces heat used to cook 
